Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
1,P3V3,VIN,,,,,,,,,,,
2,P1V8,VCCIO34,,,,,,,,,,,
3,P3V3,VIN,,,,,,,,,,,
4,P1V8,VCCIO34,,,,,,,,,,,
5,P3V3,VIN,,,,,,,,,,,
6,P1V8,VCCIO33,,,,,,,,,,,
7,P3V3,VIN,,,,,,,,,,,
8,PWR_BANK13,VCCIO13,,,,,,,,,,,
9,P3V3_SOM_OUT,3.3V,,,,,,,,,,,
10,PWR_BANK13,VCCIO13,,,,,,,,,,,
11,P3V3_SOM_OUT,3.3V,,,,,,,,,,,
12,DAC_nCS,AA22_B33_T1_L7P,,,,,,,,,,,
13,SI5340_SCL,W20_B33_T0_L4P,,,,,,,,,,,
14,DAC_SDIO,AB22_B33_T1_L7N,,,,,,,,,,,
15,SI5340_SDA,W21_B33_T0_L4N,,,,,,,,,,,
16,SI5340_LOS_XAXBb,AA21_B33_T1_L8P,,,,,,,,,,,
17,RESIN,RESIN,,,,,,,,,,,
18,Si5340_nLOL,AB21_B33_T1_L8N,,,,,,,,,,,
19,GND,GND,,,,,,,,,,,
20,,1.5V,,,,,,,,,,,
21,,W17_B33_T2_MRCC_L13P,,,,,,,,,,,
22,SI5340_nINTR,Y19_B33_T1_SRCC_L11P,,,,,,,,,,,
23,,W18_B33_T2_MRCC_L13N,,,,,,,,,,,
24,DAC_SCLK,AA19_B33_T1_SRCC_L11N,,,,,,,,,,,
25,SI5340_nRST,W16_B33_T2_SRCC_L14P,,,,,,,,,,,
26,DAC_AFE_CH1_nPD,Y18_B33_T1_MRCC_L12P,,,,,,,,,,,
27,AT_EVENT,Y16_B33_T2_SRCC_L14N,,,,,,,,,,,
28,DAC_AFE_CH2_nPD,AA18_B33_T1_MRCC_L12N,,,,,,,,,,,
29,GND,GND,,,,,,,,,,,
30,,B33_VREF,,,,,,,,,,,
31,OUT1D_P,U12_B13_T0_L5P,,,,,,,,,,,
32,ADC_CS,AA17_B33_T2_L17P,,,,,,,,,,,
33,OUT1D_N,U11_B13_T0_L5N,,,,,,,,,,,
34,ADC_SCK,AB17_B33_T2_L17N,,,,,,,,,,,
35,FR_P,U10_B13_T0_L6P,,,,,,,,,,,
36,ADC_SDI,AA16_B33_T2_L18P,,,,,,,,,,,
37,FR_N,U9_B13_T0_VREF_L6N,,,,,,,,,,,
38,ADC_SDO,AB16_B33_T2_L18N,,,,,,,,,,,
39,GND,GND,,,,,,,,,,,
40,GND,GND,,,,,,,,,,,
41,OUT2A_P,V10_B13_T0_L1P,,,,,,,,,,,
42,OUT1C_N,AA12_B13_T1_L7P,,,,,,,,,,,
43,OUT2A_N,V9_B13_T0_L1N,,,,,,,,,,,
44,OUT1C_P,AB12_B13_T1_L7N,,,,,,,,,,,
45,DCO_P,Y9_B13_T1_MRCC_L12P,,,,,,,,,,,
46,OUT1B_N,AA11_B13_T1_L8P,,,,,,,,,,,
47,DCO_N,Y8_B13_T1_MRCC_L12N,,,,,,,,,,,
48,OUT1B_P,AB11_B13_T1_L8N,,,,,,,,,,,
49,GND,GND,,,,,,,,,,,
50,GND,GND,,,,,,,,,,,
51,LVDS0_P,AA7_B13_T2_SRCC_L14P,,,,,,,,,,,
52,CLK2_N,AA9_B13_T1_SRCC_L11P,,,,,,,,,,,
53,LVDS0_N,AA6_B13_T2_SRCC_L14N,,,,,,,,,,,
54,CLK2_P,AA8_B13_T1_SRCC_L11N,,,,,,,,,,,
55,OUT2B_P,Y6_B13_T2_MRCC_L13P,,,,,,,,,,,
56,OUT1A_N,AB10_B13_T1_DQS_L9P,,,,,,,,,,,
57,OUT2B_N,Y5_B13_T2_MRCC_L13N,,,,,,,,,,,
58,OUT1A_P,AB9_B13_T1_DQS_L9N,,,,,,,,,,,
59,GND,GND,,,,,,,,,,,
60,GND,GND,,,,,,,,,,,
61,OUT2C_P,V12_B13_T0_L4P,,,,,,,,,,,
62,LVDS7_P,T4_B13_T3_L20P,,,,,,,,,,,
63,OUT2C_N,W12_B13_T0_L4N,,,,,,,,,,,
64,LVDS7_N,U4_B13_T3_L20N,,,,,,,,,,,
65,OUT2D_P,W11_B13_T0_DQS_L3P,,,,,,,,,,,
66,LVDS6_P,AB7_B13_T2_L17P,,,,,,,,,,,
67,OUT2D_N,W10_B13_T0_DQS_L3N,,,,,,,,,,,
68,LVDS6_N,AB6_B13_T2_L17N,,,,,,,,,,,
69,GND,GND,,,,,,,,,,,
70,GND,GND,,,,,,,,,,,
71,,Y11_B13_T1_L10P,,,,,,,,,,,
72,FP_LED_0,AB5_B13_T2_L16P,,,,,,,,,,,
73,,Y10_B13_T1_L10N,,,,,,,,,,,
74,FP_LED_1,AB4_B13_T2_L16N,,,,,,,,,,,
75,TERM_STAT1,V8_B13_T0_L2P,,,,,,,,,,,
76,LVDS5_P,Y4_B13_T2_L18P,,,,,,,,,,,
77,TERM_STAT0,W8_B13_T0_L2N,,,,,,,,,,,
78,LVDS5_N,AA4_B13_T2_L18N,,,,,,,,,,,
79,GND,GND,,,,,,,,,,,
80,GND,GND,,,,,,,,,,,
81,LVDS3_P,V7_B13_T3_L23P,,,,,,,,,,,
82,LVDS4_P,AB2_B13_T2_DQS_L15P,,,,,,,,,,,
83,LVDS3_N,W7_B13_T3_L23N,,,,,,,,,,,
84,LVDS4_N,AB1_B13_T2_DQS_L15N,,,,,,,,,,,
85,FP_LED_2,W6_B13_T3_L24P,,,,,,,,,,,
86,LVDS2_P,V5_B13_T3_DQS_L21P,,,,,,,,,,,
87,FP_LED_3,W5_B13_T3_L24N,,,,,,,,,,,
88,LVDS2_N,V4_B13_T3_DQS_L21N,,,,,,,,,,,
89,GND,GND,,,,,,,,,,,
90,,B13_IO25,,,,,,,,,,,
91,LVDS1_P,R6_B13_T3_L19P,,,,,,,,,,,
92,JTAG_REF,3.3V,,,,,,,,,,,
93,LVDS1_N,T6_B13_T3_VREF_L19N,,,,,,,,,,,
94,TMS_B,TMS,,,,,,,,,,,
95,ADC_AFE_CH2_nSHDN,U6_B13_T3_L22P,,,,,,,,,,,
96,TDI_B,TDI,,,,,,,,,,,
