CSV_VERSION=1.4
#Comment:-do not change matrix position or remove CSV_VERSION:
ID  , PRODID              ,PARTNAME           ,BOARDNAME                            ,SHORTNAME      ,ZYNQFLASHTYP     ,FPGAFLASHTYP                             ,PCB_REV           ,DDR_SIZE ,FLASH_SIZE ,EMMC_SIZE ,OTHERS            ,NOTES                                                      ,DESIGN
1   , TE0715-02-15-1C     ,xc7z015clg485-1    ,trenz.biz:te0715_15_1c:part0:1.0     ,03_15_1c_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV02|REV01       ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
2   , TE0715-02-15-1I     ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.0     ,03_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV02|REV01       ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
3   , TE0715-02-15-1I1    ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.0     ,03_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV02|REV01       ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
4   , TE0715-02-30-1C     ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1c:part0:1.0     ,03_30_1c_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV02|REV01       ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
5   , TE0715-02-30-1I     ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.0     ,03_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV02|REV01       ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
6   , TE0715-03-15-1I     ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.0     ,03_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV03             ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
7   , TE0715-03-15-1I3    ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.0     ,03_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV03             ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
8   , TE0715-03-15-2I     ,xc7z015clg485-2    ,trenz.biz:te0715_15_2i:part0:1.0     ,03_15_2i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV03             ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
9   , TE0715-03-30-1C     ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1c:part0:1.0     ,03_30_1c_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV03             ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
10  , TE0715-03-30-1I     ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.0     ,03_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV03             ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
11  , TE0715-03-30-1I3    ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.0     ,03_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV03             ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
12  , TE0715-03-30-3E     ,xc7z030sbg485-3    ,trenz.biz:te0715_30_3e:part0:1.0     ,03_30_3e_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV03|REV02|REV01 ,1GB      ,32MB       ,NA        ,NA                ,NA                                                         ,TE0715
13  , TE0715-04-15-1I     ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.1     ,04_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
14  , TE0715-04-15-1I3    ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.1     ,04_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR 2.5mm connector"                            ,TE0715
15  , TE0715-04-15-2I     ,xc7z015clg485-2    ,trenz.biz:te0715_15_2i:part0:1.1     ,04_15_2i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
16  , TE0715-04-30-1C     ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1c:part0:1.1     ,04_30_1c_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
17  , TE0715-04-30-1I     ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.1     ,04_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
18  , TE0715-04-30-1I3    ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.1     ,04_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR. 2.5mm connector"                           ,TE0715
19  , TE0715-04-30-3E     ,xc7z030sbg485-3    ,trenz.biz:te0715_30_3e:part0:1.1     ,04_30_3e_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
20  , TE0715-04-12S-1C    ,xc7z012sclg485-1   ,trenz.biz:te0715_12s_1c:part0:1.1    ,04_12s_1c_1gb  ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
21  , TE0715-04-30-1IA    ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.1     ,04_30_1i_1gb   ,qspi-x4-single   ,mt25ql256-qspi-x4-single|SPIx4|32        ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR. Micron Flash"                              ,TE0715
22  , TE0715-04-15-1IC    ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.1     ,04_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR. 3M NOVEC coating"                          ,TE0715    
23  , TE0715-04-21C33-A   ,xc7z012sclg485-1   ,trenz.biz:te0715_12s_1c:part0:1.1    ,04_12s_1c_1gb  ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
24  , TE0715-04-51I33-A   ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.1     ,04_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
25  , TE0715-04-51I33-AN  ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.1     ,04_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR. 3M NOVEC coating"                          ,TE0715    
26  , TE0715-04-51I33-L   ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.1     ,04_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR 2.5mm connector"                            ,TE0715
27  , TE0715-04-52I33-A   ,xc7z015clg485-2    ,trenz.biz:te0715_15_2i:part0:1.1     ,04_15_2i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
28  , TE0715-04-71C33-A   ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1c:part0:1.1     ,04_30_1c_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
29  , TE0715-04-71I33-A   ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.1     ,04_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
30  , TE0715-04-71I33-L   ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.1     ,04_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR. 2.5mm connector"                           ,TE0715
31  , TE0715-04-73E33-A   ,xc7z030sbg485-3    ,trenz.biz:te0715_30_3e:part0:1.1     ,04_30_3e_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR"                                            ,TE0715
32  , TE0715-04-30-1IY    ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.1     ,04_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR, no RTC"                                    ,TE0715
33  , TE0715-04-51I33-AY  ,xc7z015clg485-1    ,trenz.biz:te0715_15_1i:part0:1.1     ,04_15_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR, no RTC"                                    ,TE0715
34  , TE0715-04-52I33-AY  ,xc7z015clg485-2    ,trenz.biz:te0715_15_2i:part0:1.1     ,04_15_2i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR, no RTC"                                    ,TE0715
35  , TE0715-04-71C33-AY  ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1c:part0:1.1     ,04_30_1c_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR, no RTC"                                    ,TE0715
36  , TE0715-04-71I33-AY  ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.1     ,04_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR, no RTC"                                    ,TE0715
37  , TE0715-04-71I33-LY  ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.1     ,04_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"Low Power DDR. 2.5mm connector, no RTC"                   ,TE0715
38  , TE0715-04-S003      ,xc7z030sbg485-1    ,trenz.biz:te0715_30_1i:part0:1.1     ,04_30_1i_1gb   ,qspi-x4-single   ,s25fl256s-3.3v-qspi-x4-single|SPIx4|32   ,REV04             ,1GB      ,32MB       ,NA        ,NA                ,"CAO: Low Power DDR"                                       ,TE0715
